target_name,pathogen_binary,sampling_date,site_code,field_id,bombus_spp,host_plant,bee_caste,sampling_event,pathogen_load
BQCV,1,9/10/20,COL,29,impatiens,red clover,worker,4,146487.4117
BQCV,0,8/4/20,MUDGE,33,impatiens,saint johns wort,worker,3,0
BQCV,NA,8/4/20,MUDGE,23,impatiens,crown vetch,worker,3,NA
BQCV,1,8/4/20,CIND,8,impatiens,red clover,worker,3,763450.072
BQCV,1,9/9/20,FLAN,4,impatiens,jewel weed,worker,4,4549276.551
BQCV,1,9/10/20,COL,20,impatiens,red clover,worker,4,603243.0984
BQCV,0,8/4/20,CIND,18,impatiens,red clover,worker,3,0
BQCV,1,8/4/20,MUDGE,6,impatiens,crown vetch,worker,3,47642.70823
BQCV,1,9/10/20,COL,15,impatiens,red clover,worker,4,326788.5041
BQCV,1,9/9/20,FLAN,2,impatiens,jewel weed,worker,4,179772.9241
BQCV,1,9/9/20,FLAN,26,impatiens,jewel weed,worker,4,1743474.371
BQCV,1,8/4/20,MUDGE,35,impatiens,saint johns wort,worker,3,630583.5509
BQCV,1,9/9/20,FLAN,18,impatiens,crown vetch,worker,4,33358264.69
BQCV,1,9/10/20,COL,35,impatiens,red clover,worker,4,6729052.162
BQCV,1,9/9/20,FLAN,19,impatiens,crown vetch,worker,4,13081173.46
BQCV,1,9/10/20,COL,10,impatiens,red clover,worker,4,326888.3201
BQCV,1,9/9/20,FLAN,36,impatiens,crown vetch,worker,4,1604929.842
BQCV,1,8/4/20,CIND,19,impatiens,red clover,worker,3,194967628.3
BQCV,1,9/9/20,FLAN,14,impatiens,thistle,worker,4,370163.5785
BQCV,1,8/4/20,CIND,22,impatiens,red clover,worker,3,2786786.027
BQCV,1,9/9/20,FLAN,6,impatiens,jewel weed,worker,4,2339482.676
BQCV,1,8/4/20,CIND,1,impatiens,red clover,worker,3,60166705.31
BQCV,1,9/9/20,FLAN,35,impatiens,crown vetch,worker,4,50080816.32
BQCV,1,8/4/20,MUDGE,5,impatiens,crown vetch,worker,3,2001908.368
BQCV,1,8/4/20,MUDGE,22,impatiens,crown vetch,worker,3,5471002.805
BQCV,1,9/10/20,MUDGE,4,impatiens,crown vetch,worker,4,26657272.76
BQCV,1,9/9/20,FLAN,3,impatiens,jewel weed,worker,4,1953482.461
BQCV,1,9/9/20,FLAN,21,impatiens,jewel weed,worker,4,57992.60354
BQCV,1,8/4/20,MUDGE,26,impatiens,crown vetch,worker,3,236256.452
BQCV,1,9/10/20,COL,43,impatiens,red clover,worker,4,1592536.418
BQCV,1,9/9/20,FLAN,15,impatiens,solidago,worker,4,393426.1637
BQCV,1,8/4/20,MUDGE,9,impatiens,saint johns wort,worker,3,1029033.872
BQCV,1,9/9/20,FLAN,22,impatiens,jewel weed,worker,4,64821.90326
BQCV,1,9/9/20,FLAN,34,impatiens,solidago,worker,4,362856.5744
BQCV,0,9/10/20,COL,3,impatiens,red clover,worker,4,0
BQCV,1,9/10/20,COL,32,impatiens,red clover,worker,4,1714278.269
BQCV,1,8/4/20,MUDGE,34,impatiens,saint johns wort,worker,3,4187876.004
BQCV,1,9/10/20,COL,41,impatiens,red clover,worker,4,5659568.443
BQCV,1,8/4/20,MUDGE,27,impatiens,crown vetch,worker,3,29420088.72
BQCV,1,7/7/20,BOST,28,impatiens,red clover,worker,2,7410128.056
BQCV,1,9/9/20,FLAN,27,impatiens,jewel weed,worker,4,1198131.813
BQCV,1,9/10/20,COL,7,impatiens,red clover,worker,4,1535644.633
BQCV,1,9/9/20,FLAN,41,impatiens,jewel weed,worker,4,5552512.921
BQCV,0,9/9/20,FLAN,37,impatiens,crown vetch,worker,4,0
BQCV,1,5/9/20,CIND,24,impatiens,dandelion,queen,1,76405.36613
BQCV,0,9/9/20,FLAN,38,impatiens,crown vetch,worker,4,0
BQCV,1,9/9/20,FLAN,17,impatiens,flight,worker,4,6106706.089
BQCV,0,9/10/20,COL,34,impatiens,red clover,worker,4,0
BQCV,0,5/9/20,CIND,22,impatiens,dandelion,queen,1,0
BQCV,1,7/7/20,BOST,31,impatiens,red clover,worker,2,78963.49771
BQCV,1,9/9/20,FLAN,42,impatiens,jewel weed,worker,4,7618807.846
BQCV,1,5/9/20,CIND,19,impatiens,flight,queen,1,902648.3157
BQCV,1,7/7/20,BOST,11,fervidus,red clover,worker,2,843998381.3
BQCV,1,5/9/20,CIND,16,impatiens,dandelion,queen,1,704378.3151
BQCV,1,5/9/20,CIND,4,impatiens,dandelion,queen,1,2816998.172
BQCV,1,9/9/20,FLAN,10,impatiens,jewel weed,worker,4,61195.29512
BQCV,1,9/10/20,COL,6,impatiens,red clover,worker,4,5709983.477
BQCV,1,9/10/20,COL,38,impatiens,red clover,worker,4,1380674.89
BQCV,1,9/9/20,FLAN,13,impatiens,solidago,worker,4,796240.4438
BQCV,1,9/10/20,COL,24,impatiens,red clover,worker,4,11939810.56
BQCV,1,9/10/20,COL,33,impatiens,red clover,worker,4,527529.2194
BQCV,1,9/9/20,FLAN,28,impatiens,jewel weed,worker,4,1308993.111
BQCV,1,9/9/20,FLAN,12,impatiens,jewel weed,worker,4,1888117.527
BQCV,1,9/9/20,FLAN,40,impatiens,jewel weed,worker,4,3253650.592
BQCV,1,9/9/20,FLAN,8,impatiens,jewel weed,worker,4,5018574.565
BQCV,1,9/9/20,FLAN,20,impatiens,crown vetch,worker,4,1659515.569
BQCV,1,9/10/20,COL,28,impatiens,red clover,worker,4,4338755.212
BQCV,1,9/10/20,COL,2,impatiens,red clover,worker,4,2757942.481
BQCV,1,9/10/20,COL,30,impatiens,red clover,worker,4,223704.1475
BQCV,1,9/9/20,FLAN,39,impatiens,jewel weed,worker,4,53534138.95
BQCV,0,5/9/20,CIND,6,impatiens,dandelion,queen,1,0
BQCV,1,9/9/20,FLAN,33,impatiens,solidago,worker,4,81641.5397
BQCV,1,9/10/20,COL,16,impatiens,red clover,worker,4,177179.2346
BQCV,1,9/10/20,COL,45,impatiens,red clover,worker,4,2388458588
BQCV,1,7/7/20,BOST,22,impatiens,red clover,worker,2,643801.4517
BQCV,0,9/10/20,COL,8,impatiens,red clover,worker,4,0
BQCV,1,9/10/20,COL,26,impatiens,red clover,worker,4,2410337.162
BQCV,1,9/10/20,COL,27,impatiens,red clover,worker,4,42619.31413
